age;workclass;education;status;occupation;relationship;race;sex;weekhours;country;salary;birthday
37;State-gov;13;Never-married;Adm-clerical;Not-in-family;White;Male;40;United-States;35843;1983-07-13
48;Self-emp-not-inc;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;13;United-States;40312;1972-02-04
36;Private;9;Divorced;Handlers-cleaners;Not-in-family;White;Male;40;United-States;30687;1984-12-16
51;Private;7;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;40;United-States;31593;1969-02-12
26;Private;13;Married-civ-spouse;Prof-specialty;Wife;Black;Female;40;Cuba;31375;1994-06-30
35;Private;14;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;United-States;36187;1985-09-18
47;Private;5;Married-spouse-absent;Other-service;Not-in-family;Black;Female;16;Jamaica;27656;1973-12-03
50;Self-emp-not-inc;9;Married-civ-spouse;Exec-managerial;Husband;White;Male;45;United-States;147500;1970-03-02
29;Private;14;Never-married;Prof-specialty;Not-in-family;White;Female;50;United-States;140416;1991-08-05
40;Private;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;United-States;163750;1980-01-31
35;Private;10;Married-civ-spouse;Exec-managerial;Husband;Black;Male;80;United-States;127083;1985-06-07
28;State-gov;13;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male;40;India;131250;1992-08-03
21;Private;13;Never-married;Adm-clerical;Own-child;White;Female;30;United-States;29343;1999-10-31
30;Private;12;Never-married;Sales;Not-in-family;Black;Male;50;United-States;32000;1990-05-24
38;Private;11;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;40;?;141666;1982-04-28
32;Private;4;Married-civ-spouse;Transport-moving;Husband;Amer-Indian-Eskimo;Male;45;Mexico;24250;1988-10-05
23;Self-emp-not-inc;9;Never-married;Farming-fishing;Own-child;White;Male;35;United-States;27031;1997-06-11
30;Private;9;Never-married;Machine-op-inspct;Unmarried;White;Male;40;United-States;29000;1990-03-18
36;Private;7;Married-civ-spouse;Sales;Husband;White;Male;50;United-States;28312;1984-08-21
41;Self-emp-not-inc;14;Divorced;Exec-managerial;Unmarried;White;Female;45;United-States;175416;1979-01-21
