status;price;bed;bath;acre_lot;city;state;zip_code;house_size;sold_date
for_sale;105000;3;2;0.12;Adjuntas;Puerto Rico;601;920;
for_sale;80000;4;2;0.08;Adjuntas;Puerto Rico;601;1527;
for_sale;67000;2;1;0.15;Juana Diaz;Puerto Rico;795;748;
for_sale;145000;4;2;0.1;Ponce;Puerto Rico;731;1800;
for_sale;65000;6;2;0.05;Mayaguez;Puerto Rico;680;;
for_sale;179000;4;3;0.46;San Sebastian;Puerto Rico;612;2520;
for_sale;50000;3;1;0.2;Ciales;Puerto Rico;639;2040;
for_sale;71600;3;2;0.08;Ponce;Puerto Rico;731;1050;
for_sale;100000;2;1;0.09;Ponce;Puerto Rico;730;1092;
for_sale;300000;5;3;7.46;Las Marias;Puerto Rico;670;5403;
for_sale;89000;3;2;13.39;Isabela;Puerto Rico;662;1106;
for_sale;150000;3;2;0.08;Juana Diaz;Puerto Rico;795;1045;
for_sale;155000;3;2;0.1;Lares;Puerto Rico;669;4161;
for_sale;79000;5;2;0.12;Utuado;Puerto Rico;641;1620;
for_sale;649000;5;5;0.74;Ponce;Puerto Rico;731;2677;
for_sale;120000;3;2;0.08;Yauco;Puerto Rico;698;1100;
for_sale;235000;4;4;0.22;Mayaguez;Puerto Rico;680;3450;
for_sale;105000;3;2;0.08;Ponce;Puerto Rico;728;1500;
for_sale;575000;3;2;3.88;San Sebastian;Puerto Rico;685;4000;
for_sale;140000;6;3;0.25;Anasco;Puerto Rico;610;1230;
for_sale;50000;2;1;0.23;Yauco;Puerto Rico;698;621;
for_sale;165000;6;3;0.1;Moca;Puerto Rico;676;3000;
for_sale;189000;3;1;2;Coamo;Puerto Rico;769;1213;
for_sale;115000;3;2;;Ponce;Puerto Rico;716;1148;
for_sale;122500;3;2;0.05;Yauco;Puerto Rico;698;1118;
for_sale;255000;3;2;0.28;San Sebastian;Puerto Rico;685;1500;
for_sale;425000;4;3;0.3;Ponce;Puerto Rico;730;3000;
for_sale;93000;4;2;0.11;Guayanilla;Puerto Rico;656;1300;
for_sale;75000;4;2;0.04;Manati;Puerto Rico;676;1080;
for_sale;469000;3;2;0.69;Isabela;Puerto Rico;662;2505;
for_sale;189000;6;3;1.75;Villalba;Puerto Rico;766;1943;
for_sale;225000;5;4;0.12;Ponce;Puerto Rico;717;1600;
for_sale;495000;4;2;3.08;Santa Isabel;Puerto Rico;757;2886;
for_sale;220000;1;1;0.1;Ponce;Puerto Rico;730;850;
for_sale;70500;3;1;0.23;Yauco;Puerto Rico;698;936;
for_sale;305000;3;2;1.13;Moca;Puerto Rico;676;1928;
for_sale;475000;4;4;4.84;San Sebastian;Puerto Rico;685;3690;
for_sale;195000;3;4;1.94;Utuado;Puerto Rico;641;2500;
for_sale;120000;4;2;0.24;Las Marias;Puerto Rico;670;1800;
for_sale;650000;9;7;0.46;Mayaguez;Puerto Rico;680;3709;
for_sale;555000;5;3;0.16;Ponce;Puerto Rico;730;3100;
for_sale;3900000;6;6;0.94;Penuelas;Puerto Rico;624;9297;
for_sale;400000;;;0.99;Moca;Puerto Rico;676;43082;
for_sale;380000;;;18.45;Hatillo;Puerto Rico;659;;
for_sale;95000;3;2;0.1;Aguada;Puerto Rico;602;600;
for_sale;74000;3;1;0.09;Aguada;Puerto Rico;602;900;
for_sale;139500;4;2;0.15;Aguada;Puerto Rico;602;3000;
for_sale;149900;1;1;0.26;Aguada;Puerto Rico;602;2100;
for_sale;180000;2;2;0.24;Aguada;Puerto Rico;602;1138;
for_sale;249000;3;2;0.13;Aguada;Puerto Rico;602;1380;
for_sale;252000;6;4;0.23;Aguada;Puerto Rico;602;2500;
for_sale;160000;2;1;;Aguada;Puerto Rico;602;813;
for_sale;90000;2;1;0.07;Aguada;Puerto Rico;602;813;
for_sale;500000;5;3;1.78;Aguada;Puerto Rico;602;2962;
for_sale;339000;4;2;0.1;Aguada;Puerto Rico;602;1955;
for_sale;265000;3;2;0.08;Aguada;Puerto Rico;602;1200;
for_sale;10000000;6;5;0.12;Aguada;Puerto Rico;602;6000;
for_sale;389000;3;4;2;Aguada;Puerto Rico;602;1880;
for_sale;575000;3;2;2.96;Aguada;Puerto Rico;602;2500;
for_sale;35000;;;0.88;Aguada;Puerto Rico;602;;
for_sale;58000;;;0.21;Aguada;Puerto Rico;602;;
for_sale;85000;;;21.08;Aguada;Puerto Rico;602;;
for_sale;47000;;;0.57;Aguada;Puerto Rico;602;;
for_sale;720000;3;3;;Aguada;Puerto Rico;602;2715;
for_sale;375000;7;5;0.31;Aguada;Puerto Rico;602;2775;
for_sale;50000;;;0.65;Aguada;Puerto Rico;602;;
for_sale;3250000;;6;0.06;Rincon;Puerto Rico;602;;
for_sale;39500;;;0.24;Aguada;Puerto Rico;602;;
for_sale;249500;;;33.35;Aguada;Puerto Rico;602;;
for_sale;1399000;5;3;8.74;Aguada;Puerto Rico;602;5517;
for_sale;600000;6;5;0.1;Aguada;Puerto Rico;602;2400;
for_sale;649000;;;2.64;Aguada;Puerto Rico;602;;
for_sale;189000;2;1;;Aguada;Puerto Rico;602;951;
for_sale;150000;;;1.46;Aguada;Puerto Rico;602;;
for_sale;74000;;;0.21;Aguada;Puerto Rico;602;;
for_sale;65500;;;0.28;Aguada;Puerto Rico;602;;
for_sale;67500;;;0.28;Aguada;Puerto Rico;602;;
for_sale;130000;;;0.42;Aguada;Puerto Rico;602;;
for_sale;95000;;;0.37;Aguada;Puerto Rico;602;;
for_sale;329000;;;0.23;Rincon;Puerto Rico;602;;
for_sale;130000;;;0.68;Aguada;Puerto Rico;602;;
for_sale;94770;;;0.25;Aguada;Puerto Rico;602;;
for_sale;150000;;;0.38;Aguada;Puerto Rico;602;;
for_sale;165000;;;0.4;Aguada;Puerto Rico;602;;
for_sale;215000;3;2;0.22;Aguadilla;Puerto Rico;603;2070;
for_sale;63000;3;2;0.05;Aguadilla;Puerto Rico;603;1184;
for_sale;215000;3;2;0.22;Aguadilla;Puerto Rico;603;1900;
for_sale;115000;3;1;0.2;Aguadilla;Puerto Rico;603;980;
for_sale;99000;4;2;0.89;Aguadilla;Puerto Rico;603;1408;
for_sale;850000;5;5;0.62;Aguadilla;Puerto Rico;603;8460;
for_sale;140000;3;2;0.11;Aguadilla;Puerto Rico;603;1116;
for_sale;499000;4;3;0.26;Aguadilla;Puerto Rico;603;3734;
for_sale;180000;3;2;0.17;Aguadilla;Puerto Rico;603;1500;
for_sale;225900;6;3;0.49;Aguadilla;Puerto Rico;603;2618;
for_sale;260000;4;2;0.12;Aguadilla;Puerto Rico;603;1760;
for_sale;31179;;;0.13;Aguadilla;Puerto Rico;603;;
for_sale;500000;4;3;0.33;Aguadilla;Puerto Rico;603;2950;
for_sale;225000;3;2;0.21;Aguada;Puerto Rico;603;1565;
for_sale;28000;;;0.25;Aguadilla;Puerto Rico;603;;
for_sale;425000;4;2;0.95;Aguadilla;Puerto Rico;603;3468;
for_sale;300000;4;2;10.76;Aguadilla;Puerto Rico;603;547;
for_sale;75000;;;0.19;Aguadilla;Puerto Rico;603;;
for_sale;290000;3;2;0.15;Aguadilla;Puerto Rico;603;2280;
for_sale;550000;3;4;0.2;Aguadilla;Puerto Rico;603;4020;
for_sale;234900;6;2;0.18;Aguadilla;Puerto Rico;603;2035;
for_sale;44720;;;0.18;Aguadilla;Puerto Rico;603;;
for_sale;35000;;;0.4;Aguadilla;Puerto Rico;603;;
for_sale;75000;;;0.4;Aguadilla;Puerto Rico;603;;
for_sale;37000;;;0.42;Aguadilla;Puerto Rico;603;;
for_sale;37359;;;0.22;Aguadilla;Puerto Rico;603;;
for_sale;739500;;;2.43;Aguadilla;Puerto Rico;603;;
for_sale;65000;;;0.28;Aguadilla;Puerto Rico;603;;
for_sale;56406;;;0.33;Aguadilla;Puerto Rico;603;;
for_sale;620000;5;3;0.52;Aguadilla;Puerto Rico;603;3267;
for_sale;649900;8;3;0.19;Aguadilla;Puerto Rico;603;3700;
for_sale;44995;;;0.26;Aguadilla;Puerto Rico;603;;
for_sale;37779;;;0.22;Aguadilla;Puerto Rico;603;;
for_sale;60123;;;0.35;Aguadilla;Puerto Rico;603;;
for_sale;38279;;;0.23;Aguadilla;Puerto Rico;603;;
for_sale;199900;;;11;Aguada;Puerto Rico;603;;
for_sale;125000;;;0.22;Aguadilla;Puerto Rico;603;;
for_sale;200000;;;0.49;Aguadilla;Puerto Rico;603;;
for_sale;150000;;;0.2;Aguadilla;Puerto Rico;603;;
for_sale;8000000;;;247.57;Isabela;Puerto Rico;603;;
for_sale;1000000;;;5;Aguadilla;Puerto Rico;603;;
