code,name,dob,nationality,race_id,position,points,fastest_lap_speed,status,country,year,race,date
HAM,Lewis Hamilton,1985-01-07,British,18,1.0,10.0,218.3,Finished,Australia,2008,Australian Grand Prix,2008-03-16
HEI,Nick Heidfeld,1977-05-10,German,18,2.0,8.0,217.586,Finished,Australia,2008,Australian Grand Prix,2008-03-16
ROS,Nico Rosberg,1985-06-27,German,18,3.0,6.0,216.719,Finished,Australia,2008,Australian Grand Prix,2008-03-16
ALO,Fernando Alonso,1981-07-29,Spanish,18,4.0,5.0,215.464,Finished,Australia,2008,Australian Grand Prix,2008-03-16
KOV,Heikki Kovalainen,1981-10-19,Finnish,18,5.0,4.0,218.385,Finished,Australia,2008,Australian Grand Prix,2008-03-16
NAK,Kazuki Nakajima,1985-01-11,Japanese,18,6.0,3.0,212.974,+1 Lap,Australia,2008,Australian Grand Prix,2008-03-16
BOU,Sébastien Bourdais,1979-02-28,French,18,7.0,2.0,213.224,Engine,Australia,2008,Australian Grand Prix,2008-03-16
RAI,Kimi Räikkönen,1979-10-17,Finnish,18,8.0,1.0,217.18,Engine,Australia,2008,Australian Grand Prix,2008-03-16
KUB,Robert Kubica,1984-12-07,Polish,18,,0.0,215.1,Collision,Australia,2008,Australian Grand Prix,2008-03-16
GLO,Timo Glock,1982-03-18,German,18,,0.0,213.166,Accident,Australia,2008,Australian Grand Prix,2008-03-16
SAT,Takuma Sato,1977-01-28,Japanese,18,,0.0,210.038,Transmission,Australia,2008,Australian Grand Prix,2008-03-16
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,18,,0.0,208.907,Clutch,Australia,2008,Australian Grand Prix,2008-03-16
MAS,Felipe Massa,1981-04-25,Brazilian,18,,0.0,216.51,Engine,Australia,2008,Australian Grand Prix,2008-03-16
COU,David Coulthard,1971-03-27,British,18,,0.0,213.3,Collision,Australia,2008,Australian Grand Prix,2008-03-16
TRU,Jarno Trulli,1974-07-13,Italian,18,,0.0,213.758,Electrical,Australia,2008,Australian Grand Prix,2008-03-16
SUT,Adrian Sutil,1983-01-11,German,18,,0.0,207.461,Hydraulics,Australia,2008,Australian Grand Prix,2008-03-16
WEB,Mark Webber,1976-08-27,Australian,18,,0.0,,Collision,Australia,2008,Australian Grand Prix,2008-03-16
BUT,Jenson Button,1980-01-19,British,18,,0.0,,Collision,Australia,2008,Australian Grand Prix,2008-03-16
DAV,Anthony Davidson,1979-04-18,British,18,,0.0,,Collision,Australia,2008,Australian Grand Prix,2008-03-16
VET,Sebastian Vettel,1987-07-03,German,18,,0.0,,Collision,Australia,2008,Australian Grand Prix,2008-03-16
FIS,Giancarlo Fisichella,1973-01-14,Italian,18,,0.0,,Collision,Australia,2008,Australian Grand Prix,2008-03-16
BAR,Rubens Barrichello,1972-05-23,Brazilian,18,,0.0,215.141,Disqualified,Australia,2008,Australian Grand Prix,2008-03-16
HAM,Lewis Hamilton,1985-01-07,British,19,5.0,4.0,209.033,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
HEI,Nick Heidfeld,1977-05-10,German,19,6.0,3.0,209.244,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
ROS,Nico Rosberg,1985-06-27,German,19,14.0,0.0,206.182,+1 Lap,Malaysia,2008,Malaysian Grand Prix,2008-03-23
ALO,Fernando Alonso,1981-07-29,Spanish,19,8.0,1.0,207.24,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
KOV,Heikki Kovalainen,1981-10-19,Finnish,19,3.0,6.0,208.031,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
NAK,Kazuki Nakajima,1985-01-11,Japanese,19,17.0,0.0,204.222,+2 Laps,Malaysia,2008,Malaysian Grand Prix,2008-03-23
BOU,Sébastien Bourdais,1979-02-28,French,19,,0.0,,Spun off,Malaysia,2008,Malaysian Grand Prix,2008-03-23
RAI,Kimi Räikkönen,1979-10-17,Finnish,19,1.0,10.0,209.158,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
KUB,Robert Kubica,1984-12-07,Polish,19,2.0,8.0,208.033,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
GLO,Timo Glock,1982-03-18,German,19,,0.0,,Collision,Malaysia,2008,Malaysian Grand Prix,2008-03-23
SAT,Takuma Sato,1977-01-28,Japanese,19,16.0,0.0,202.578,+2 Laps,Malaysia,2008,Malaysian Grand Prix,2008-03-23
PIQ,Nelson Piquet Jr.,1985-07-25,Brazilian,19,11.0,0.0,205.812,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
MAS,Felipe Massa,1981-04-25,Brazilian,19,,0.0,208.048,Spun off,Malaysia,2008,Malaysian Grand Prix,2008-03-23
COU,David Coulthard,1971-03-27,British,19,9.0,0.0,207.417,Finished,Malaysia,2008,Malaysian Grand Prix,2008-03-23
