Invoice ID;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Payment
750-67-8428;Yangon;Member;Female;Health and beauty;74.69;7;26.1415;548.9715;2019-01-05 13:08:00;Ewallet
226-31-3081;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;3.82;80.22;2019-03-08 10:29:00;Cash
631-41-3108;Yangon;Normal;Male;Home and lifestyle;46.33;7;16.2155;340.5255;2019-03-03 13:23:00;Credit card
123-19-1176;Yangon;Member;Male;Health and beauty;58.22;8;23.288;489.048;2019-01-27 20:33:00;Ewallet
373-73-7910;Yangon;Normal;Male;Sports and travel;86.31;7;30.2085;634.3785;2019-02-08 10:37:00;Ewallet
699-14-3026;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;29.8865;627.6165;2019-03-25 18:30:00;Ewallet
355-53-5943;Yangon;Member;Female;Electronic accessories;68.84;6;20.652;433.692;2019-02-25 14:36:00;Ewallet
315-22-5665;Naypyitaw;Normal;Female;Home and lifestyle;73.56;10;36.78;772.38;2019-02-24 11:38:00;Ewallet
665-32-9167;Yangon;Member;Female;Health and beauty;36.26;2;3.626;76.146;2019-01-10 17:15:00;Credit card
692-92-5582;Mandalay;Member;Female;Food and beverages;54.84;3;8.226;172.746;2019-02-20 13:27:00;Credit card
351-62-0822;Mandalay;Member;Female;Fashion accessories;14.48;4;2.896;60.816;2019-02-06 18:07:00;Ewallet
529-56-3974;Mandalay;Member;Male;Electronic accessories;25.51;4;5.102;107.142;2019-03-09 17:03:00;Cash
365-64-0515;Yangon;Normal;Female;Electronic accessories;46.95;5;11.7375;246.4875;2019-02-12 10:25:00;Ewallet
252-56-2699;Yangon;Normal;Male;Food and beverages;43.19;10;21.595;453.495;2019-02-07 16:48:00;Ewallet
829-34-3910;Yangon;Normal;Female;Health and beauty;71.38;10;35.69;749.49;2019-03-29 19:21:00;Cash
299-46-1805;Mandalay;Member;Female;Sports and travel;93.72;6;28.116;590.436;2019-01-15 16:19:00;Cash
656-95-9349;Yangon;Member;Female;Health and beauty;68.93;7;24.1255;506.6355;2019-03-11 11:03:00;Credit card
765-26-6951;Yangon;Normal;Male;Sports and travel;72.61;6;21.783;457.443;2019-01-01 10:39:00;Credit card
329-62-1586;Yangon;Normal;Male;Food and beverages;54.67;3;8.2005;172.2105;2019-01-21 18:00:00;Credit card
319-50-3348;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;84.63;2019-03-11 15:30:00;Ewallet
300-71-4605;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;451.71;2019-02-25 11:24:00;Ewallet
371-85-5789;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197;277.137;2019-03-05 10:40:00;Ewallet
273-16-6619;Mandalay;Normal;Male;Home and lifestyle;33.2;2;3.32;69.72;2019-03-15 12:20:00;Credit card
636-48-8204;Yangon;Normal;Male;Electronic accessories;34.56;5;8.64;181.44;2019-02-17 11:15:00;Ewallet
549-59-1358;Yangon;Member;Male;Sports and travel;88.63;3;13.2945;279.1845;2019-03-02 17:36:00;Ewallet
227-03-5010;Yangon;Member;Female;Home and lifestyle;52.59;8;21.036;441.756;2019-03-22 19:20:00;Credit card
649-29-6775;Mandalay;Normal;Male;Fashion accessories;33.52;1;1.676;35.196;2019-02-08 15:31:00;Cash
189-17-4241;Yangon;Normal;Female;Fashion accessories;87.67;2;8.767;184.107;2019-03-10 12:17:00;Credit card
145-94-9061;Mandalay;Normal;Female;Food and beverages;88.36;5;22.09;463.89;2019-01-25 19:48:00;Cash
848-62-7243;Yangon;Normal;Male;Health and beauty;24.89;9;11.2005;235.2105;2019-03-15 15:36:00;Cash
871-79-8483;Mandalay;Normal;Male;Fashion accessories;94.13;5;23.5325;494.1825;2019-02-25 19:39:00;Credit card
149-71-6266;Mandalay;Member;Male;Sports and travel;78.07;9;35.1315;737.7615;2019-01-28 12:43:00;Cash
640-49-2076;Mandalay;Normal;Male;Sports and travel;83.78;8;33.512;703.752;2019-01-10 14:49:00;Cash
595-11-5460;Yangon;Normal;Male;Health and beauty;96.58;2;9.658;202.818;2019-03-15 10:12:00;Credit card
183-56-6882;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.884;417.564;2019-02-06 10:42:00;Ewallet
232-16-2483;Naypyitaw;Member;Female;Sports and travel;68.12;1;3.406;71.526;2019-01-07 12:28:00;Ewallet
129-29-8530;Yangon;Member;Male;Sports and travel;62.62;5;15.655;328.755;2019-03-10 19:15:00;Ewallet
272-65-1806;Yangon;Normal;Female;Electronic accessories;60.88;9;27.396;575.316;2019-01-15 17:17:00;Ewallet
333-73-7901;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.968;461.328;2019-03-23 13:24:00;Ewallet
